"Call","Date","Prec","Check","Sec","Class","ClassWFD","SpcNum","Name","State","County","Grid","1010","CWOps","Pwr","Future","Future","Future","Future","Future"
"4U1WB","2024/10/16","","89","MDC","","","","","DC","","","","","","","","","","",""
"AA0A","2024/10/16","","60","MO","","","","","MO","","","","","","","","","","",""
"AA0AA","2024/10/16","","86","NE","","","","","NE","","","","","","","","","","",""
"AA0AC","2024/10/16","","96","MN","","","","","MN","","","","","","","","","","",""
"AA0AW","2024/10/16","","86","MN","","","","","MN","","","","","","","","","","",""
"AA0BA","2024/10/16","","63","NE","","","","","NE","","","","","","","","","","",""
"AA0BV","2024/10/16","","61","SF","","","","","SF","","","","","","","","","","",""
"AA0CL","2024/10/16","","77","MO","","","","","MO","","","","","","","","","","",""
"AA0CY","2024/10/16","","63","EPA","","","","","PA","","","","","","","","","","",""
"AA0FD","2024/10/16","","16","CO","","","","","CO","","","","","","","","","","",""
"AA0FO","2024/10/16","","71","KS","","","","","KS","","","","","","","","","","",""
"AA0KW","2024/10/16","","67","IA","","","","","IA","","","","","","","","","","",""
"AA0LY","2024/10/16","","84","SD","","","","","SD","","","","","","","","","","",""
"AA0NK","2024/10/16","","87","MN","","","","","MN","","","","","","","","","","",""
"AA0O","2024/10/16","","17","WCF","","","","","FL","","","","","","","","","","",""
"AA0OG","2024/10/16","","87","MN","","","","","MN","","","","","","","","","","",""
"AA0PO","2024/10/16","","93","MO","","","","","MO","","","","","","","","","","",""
"AA0RT","2024/10/16","","93","MO","","","","","MO","","","","","","","","","","",""
"AA0W","2024/10/16","","56","NE","","","","","NE","","","","","","","","","","",""
"AA0Y","2024/10/16","","78","MN","","","","","MN","","","","","","","","","","",""
"AA0ZZ","2024/10/16","","64","MN","","","","","MN","","","","","","","","","","",""
"AA1CA","2024/10/16","","92","NH","","","","","NH","","","","","","","","","","",""
"AA1GW","2024/10/16","","72","CT","","","","","CT","","","","","","","","","","",""
"AA1HK","2024/10/16","","69","CT","","","","","CT","","","","","","","","","","",""
"AA1JM","2024/10/16","","88","CT","","","","","CT","","","","","","","","","","",""
"AA1K","2024/10/16","","64","DE","","","","","DE","","","","","","","","","","",""
"AA1O","2024/10/16","","53","EMA","","","","","MA","","","","","","","","","","",""
"AA1PV","2024/10/16","","95","RI","","","","","RI","","","","","","","","","","",""
"AA1QD","2024/10/16","","94","NH","","","","","NH","","","","","","","","","","",""
"AA1RB","2024/10/16","","8","VA","","","","","VA","","","","","","","","","","",""
"AA1SU","2024/10/16","","97","VT","","","","","VT","","","","","","","","","","",""
"AA1TH","2024/10/16","","87","EMA","","","","","MA","","","","","","","","","","",""
"AA1UT","2024/10/16","","79","ME","","","","","ME","","","","","","","","","","",""
"AA1WA","2024/10/16","","0","EMA","","","","","MA","","","","","","","","","","",""
"AA1ZQ","2024/10/16","","72","VT","","","","","VT","","","","","","","","","","",""
"AA2AD","2024/10/16","","61","WPA","","","","","PA","","","","","","","","","","",""
"AA2AN","2024/10/16","","6","WNY","","","","","NY","","","","","","","","","","",""
"AA2DT","2024/10/16","","62","WNY","","","","","NY","","","","","","","","","","",""
"AA2EQ","2024/10/16","","91","WNY","","","","","NY","","","","","","","","","","",""
"AA2FD","2024/10/16","","85","VA","","","","","VA","","","","","","","","","","",""
"AA2GS","2024/10/16","","58","KY","","","","","KY","","","","","","","","","","",""
"AA2IL","2024/10/16","","78","SDG","","","","","CA","","","","","","","","","","",""
"AA2IZ","2024/10/16","","90","WNY","","","","","NY","","","","","","","","","","",""
"AA2MU","2024/10/16","","91","WNY","","","","","NY","","","","","","","","","","",""
"AA2OI","2024/10/16","","51","ENY","","","","","NY","","","","","","","","","","",""
"AA2TM","2024/10/16","","92","WNY","","","","","NY","","","","","","","","","","",""
"AA2TT","2024/10/16","","91","ENY","","","","","NY","","","","","","","","","","",""
"AA2U","2024/10/16","","76","ENY","","","","","NY","","","","","","","","","","",""
"AA2VG","2024/10/16","","93","NLI","","","","","NY","","","","","","","","","","",""
"AA2VK","2024/10/16","","94","NLI","","","","","NY","","","","","","","","","","",""
"AA2Y","2024/10/16","","75","ENY","","","","","NY","","","","","","","","","","",""
"AA2YK","2024/10/16","","0","ENY","","","","","NY","","","","","","","","","","",""
"AA2ZW","2024/10/16","","94","WNY","","","","","NY","","","","","","","","","","",""
"AA3B","2024/10/16","","70","EPA","","","","","PA","","","","","","","","","","",""
"AA3CS","2024/10/16","","8","MDC","","","","","MD","","","","","","","","","","",""
"AA3II","2024/10/16","","90","WPA","","","","","PA","","","","","","","","","","",""
"AA3K","2024/10/16","","0","EPA","","","","","PA","","","","","","","","","","",""
"AA3LX","2024/10/16","","94","WPA","","","","","PA","","","","","","","","","","",""
"AA3LY","2024/10/16","","91","EPA","","","","","PA","","","","","","","","","","",""
"AA3ML","2024/10/16","","54","WPA","","","","","PA","","","","","","","","","","",""
"AA3NJ","2024/10/16","","68","MDC","","","","","MD","","","","","","","","","","",""
